common_name,botanical_name,plant_url
Big Berry Manzanita,Arctostaphylos glauca,//legacy.calscape.org/qrcodes/Arctostaphylos-glauca(192)
Blueblossom Ceanothus,Ceanothus thyrsiflorus,//legacy.calscape.org/qrcodes/Ceanothus-thyrsiflorus(192)
Western Redbud,Cercis occidentalis,//legacy.calscape.org/qrcodes/Cercis-occidentalis(192)
Maritime Ceanothus,Ceanothus maritimus,//legacy.calscape.org/qrcodes/Ceanothus-maritimus(192)
Blue-eyed Grass,Sisyrinchium bellum,//legacy.calscape.org/qrcodes/Sisyrinchium-bellum(192)
Flannel Bush,Fremontodendron californicum,//legacy.calscape.org/qrcodes/Fremontodendron-californicum(192)
Hummingbird Sage,Salvia spathacea,//legacy.calscape.org/qrcodes/Salvia-spathacea(192)
Nevin's Barberry,Berberis nevinii,//legacy.calscape.org/qrcodes/Berberis-nevinii(192)
Coast Live Oak,Quercus agrifolia,//legacy.calscape.org/qrcodes/Quercus-agrifolia(192)
Mission Manzanita,Xylococcus bicolor,//legacy.calscape.org/qrcodes/Xylococcus-bicolor(192)
Santa Cruz Island Buckwheat,Eriogonum arborescens,//legacy.calscape.org/qrcodes/Eriogonum-arborescens(192)
California Fuchsia,Epilobium canum,//legacy.calscape.org/qrcodes/Epilobium-canum(192)
Common Manzanita,Arctostaphylos manzanita,//legacy.calscape.org/qrcodes/Arctostaphylos-manzanita(192)
Chalk Dudleya,Dudleya pulverulenta,//legacy.calscape.org/qrcodes/Dudleya-pulverulenta(192)
Showy Penstemon,Penstemon spectabilis,//legacy.calscape.org/qrcodes/Penstemon-spectabilis(192)
Deergrass,Muhlenbergia rigens,//legacy.calscape.org/qrcodes/Muhlenbergia-rigens(192)
Douglas Iris,Iris douglasiana,//legacy.calscape.org/qrcodes/Iris-douglasiana(192)
Tall Oregon Grape,Berberis aquifolium,//legacy.calscape.org/qrcodes/Berberis-aquifolium(192)
Fremont Cottonwood,Populus fremontii,//legacy.calscape.org/qrcodes/Populus-fremontii(192)
Carmel Ceanothus,Ceanothus thyrsiflorus var. griseus,//legacy.calscape.org/qrcodes/Ceanothus-thyrsiflorus-var.-griseus(192)
California Aster,Corethrogyne filaginifolia,//legacy.calscape.org/qrcodes/Corethrogyne-filaginifolia(192)
Toyon,Heteromeles arbutifolia,//legacy.calscape.org/qrcodes/Heteromeles-arbutifolia(192)
Little Sur Manzanita,Arctostaphylos edmundsii,//legacy.calscape.org/qrcodes/Arctostaphylos-edmundsii(192)
Blue Oak,Quercus douglasii,//legacy.calscape.org/qrcodes/Quercus-douglasii(192)
Western Columbine,Aquilegia formosa,//legacy.calscape.org/qrcodes/Aquilegia-formosa(192)
Black Oak,Quercus kelloggii,//legacy.calscape.org/qrcodes/Quercus-kelloggii(192)
Creek Dogwood,Cornus sericea ssp. sericea,//legacy.calscape.org/qrcodes/Cornus-sericea-ssp.-sericea(192)
Channel Islands Tree Poppy,Dendromecon harfordii,//legacy.calscape.org/qrcodes/Dendromecon-harfordii(192)
Western Sycamore,Platanus racemosa,//legacy.calscape.org/qrcodes/Platanus-racemosa(192)
Hooker's Manzanita,Arctostaphylos hookeri,//legacy.calscape.org/qrcodes/Arctostaphylos-hookeri(192)
San Diego Ceanothus,Ceanothus cyaneus,//legacy.calscape.org/qrcodes/Ceanothus-cyaneus(192)
Summer Holly,Comarostaphylis diversifolia,//legacy.calscape.org/qrcodes/Comarostaphylis-diversifolia(192)
Catalina Cherry,Prunus ilicifolia ssp. lyonii,//legacy.calscape.org/qrcodes/Prunus-ilicifolia-ssp.-lyonii(192)
